Crop,Soil_Type,pH_Optimal,Nitrogen_Optimal_kg_ha,Phosphorus_Optimal_kg_ha,Potassium_Optimal_kg_ha,Temperature_Optimal_C,Water_Requirement_mm,Rainfall_Requirement_mm,Moisture_Optimal_percent,Humidity_Optimal_percent,Expected_Yield_tonnes_ha,Water_Efficiency_Index,Fertilizer_Efficiency_Index
Bajra,Sandy,7.5,75,40,40,30,350,300,50,55,0.8,0.94,0.92
Sesamum,Sandy Loam,6.2,45,30,35,27,450,400,60,65,0.4,0.88,0.9
Sesamum,Sandy Loam,6.2,45,30,35,27,450,400,60,65,0.4,0.88,0.9
Sesamum,Sandy Loam,6.2,45,30,35,27,450,400,60,65,0.4,0.88,0.9
Sunflower,Loam,7.0,80,60,60,25,400,350,60,65,1.2,0.9,0.88
Sunflower,Loam,7.0,80,60,60,25,400,350,60,65,1.2,0.9,0.88
Sunflower,Loam,7.0,80,60,60,25,400,350,60,65,1.2,0.9,0.88
Safflower,Clay Loam,7.5,80,45,45,20,300,300,55,60,0.7,0.92,0.91
Safflower,Clay Loam,7.5,80,45,45,20,300,300,55,60,0.7,0.92,0.91
Safflower,Clay Loam,7.5,80,45,45,20,300,300,55,60,0.7,0.92,0.91
Safflower,Clay Loam,7.5,80,45,45,20,300,300,55,60,0.7,0.92,0.91
Linseed,Loam,7.0,60,45,40,18,300,250,60,65,0.6,0.91,0.89
Linseed,Loam,7.0,60,45,40,18,300,250,60,65,0.6,0.91,0.89
Linseed,Loam,7.0,60,45,40,18,300,250,60,65,0.6,0.91,0.89
Castor,Sandy Loam,7.0,75,45,60,25,500,500,55,60,1.0,0.89,0.87
Castor,Sandy Loam,7.0,75,45,60,25,500,500,55,60,1.0,0.89,0.87
Castor,Sandy Loam,7.0,75,45,60,25,500,500,55,60,1.0,0.89,0.87
Castor,Sandy Loam,7.0,75,45,60,25,500,500,55,60,1.0,0.89,0.87
Niger,Sandy Loam,6.2,45,30,35,25,600,600,65,70,0.3,0.85,0.88
Niger,Sandy Loam,6.2,45,30,35,25,600,600,65,70,0.3,0.85,0.88
Niger,Sandy Loam,6.2,45,30,35,25,600,600,65,70,0.3,0.85,0.88
Niger,Sandy Loam,6.2,45,30,35,25,600,600,65,70,0.3,0.85,0.88
Tobacco,Sandy Loam,6.5,115,60,115,24,450,400,60,70,1.8,0.86,0.84
Jwar,Sandy Clay,7.0,100,40,40,30,400,350,55,60,1.1,0.9,0.88
Jwar,Sandy Clay,7.0,100,40,40,30,400,350,55,60,1.1,0.9,0.88
Jwar,Sandy Clay,7.0,100,40,40,30,400,350,55,60,1.1,0.9,0.88
Barley,Loam,7.0,100,40,35,18,400,350,60,60,2.5,0.91,0.89
Barley,Loam,7.0,100,40,35,18,400,350,60,60,2.5,0.91,0.89
Barley,Loam,7.0,100,40,35,18,400,350,60,60,2.5,0.91,0.89
Oats,Sandy Loam,6.5,80,35,30,15,300,250,55,60,1.8,0.93,0.91
Oats,Sandy Loam,6.5,80,35,30,15,300,250,55,60,1.8,0.93,0.91
Oats,Sandy Loam,6.5,80,35,30,15,300,250,55,60,1.8,0.93,0.91
Ragi,Red Soil,6.0,60,30,30,25,500,500,60,70,1.2,0.89,0.88
Ragi,Red Soil,6.0,60,30,30,25,500,500,60,70,1.2,0.89,0.88
Ragi,Red Soil,6.0,60,30,30,25,500,500,60,70,1.2,0.89,0.88
Coconut,Sandy Loam,6.5,150,45,210,28,1500,1200,70,80,15.0,0.82,0.86
Coconut,Sandy Loam,6.5,150,45,210,28,1500,1200,70,80,15.0,0.82,0.86
Arecanut,Clay Loam,6.0,225,60,300,27,2000,1500,80,90,2.5,0.8,0.84
Arecanut,Clay Loam,6.0,225,60,300,27,2000,1500,80,90,2.5,0.8,0.84
Coffee,Red Soil,6.0,150,45,225,20,1800,1200,75,85,0.8,0.81,0.85
Coffee,Red Soil,6.0,150,45,225,20,1800,1200,75,85,0.8,0.81,0.85
Tea,Acidic Soil,5.5,225,60,150,22,1500,1200,80,90,2.2,0.83,0.87
Tea,Acidic Soil,5.5,225,60,150,22,1500,1200,80,90,2.2,0.83,0.87
Cardamom,Forest Soil,5.8,120,40,90,20,1200,1000,80,90,0.3,0.79,0.82
Cardamom,Forest Soil,5.8,120,40,90,20,1200,1000,80,90,0.3,0.79,0.82
Black_Pepper,Laterite,6.2,150,45,120,28,2000,1500,80,90,2.5,0.78,0.81
Black_Pepper,Laterite,6.2,150,45,120,28,2000,1500,80,90,2.5,0.78,0.81
Turmeric,Clay Loam,6.8,90,40,120,30,1000,1000,75,80,25.0,0.85,0.88
Turmeric,Clay Loam,6.8,90,40,120,30,1000,1000,75,80,25.0,0.85,0.88
Turmeric,Clay Loam,6.8,90,40,120,30,1000,1000,75,80,25.0,0.85,0.88
Ginger,Sandy Loam,6.0,120,45,150,25,1200,1000,80,90,12.0,0.82,0.85
Ginger,Sandy Loam,6.0,120,45,150,25,1200,1000,80,90,12.0,0.82,0.85
Ginger,Sandy Loam,6.0,120,45,150,25,1200,1000,80,90,12.0,0.82,0.85
Coriander,Loam,7.0,60,30,60,20,400,300,60,65,1.2,0.91,0.9
Coriander,Loam,7.0,60,30,60,20,400,300,60,65,1.2,0.91,0.9
Coriander,Loam,7.0,60,30,60,20,400,300,60,65,1.2,0.91,0.9
Cumin,Sandy Loam,7.5,45,30,45,20,350,250,55,60,0.8,0.92,0.91
Cumin,Sandy Loam,7.5,45,30,45,20,350,250,55,60,0.8,0.92,0.91
Cumin,Sandy Loam,7.5,45,30,45,20,350,250,55,60,0.8,0.92,0.91
Fennel,Clay Loam,7.2,90,45,60,18,400,300,60,65,1.5,0.9,0.89
Fennel,Clay Loam,7.2,90,45,60,18,400,300,60,65,1.5,0.9,0.89
Fennel,Clay Loam,7.2,90,45,60,18,400,300,60,65,1.5,0.9,0.89
Fenugreek,Loam,6.5,45,40,45,20,300,250,55,60,1.8,0.93,0.92
Fenugreek,Loam,6.5,45,40,45,20,300,250,55,60,1.8,0.93,0.92
Fenugreek,Loam,6.5,45,40,45,20,300,250,55,60,1.8,0.93,0.92
Onion,Sandy Loam,6.5,125,60,120,20,500,350,65,70,25.0,0.88,0.87
Onion,Sandy Loam,6.5,125,60,120,20,500,350,65,70,25.0,0.88,0.87
Onion,Sandy Loam,6.5,125,60,120,20,500,350,65,70,25.0,0.88,0.87
Potato,Sandy Loam,6.0,150,75,150,20,500,400,70,75,25.0,0.86,0.85
Potato,Sandy Loam,6.0,150,75,150,20,500,400,70,75,25.0,0.86,0.85
Potato,Sandy Loam,6.0,150,75,150,20,500,400,70,75,25.0,0.86,0.85
Tomato,Loam,6.5,160,90,180,24,600,500,70,70,40.0,0.85,0.84
Tomato,Loam,6.5,160,90,180,24,600,500,70,70,40.0,0.85,0.84
Tomato,Loam,6.5,160,90,180,24,600,500,70,70,40.0,0.85,0.84
Brinjal,Clay Loam,6.5,125,75,150,28,500,500,70,75,25.0,0.87,0.86
Brinjal,Clay Loam,6.5,125,75,150,28,500,500,70,75,25.0,0.87,0.86
Brinjal,Clay Loam,6.5,125,75,150,28,500,500,70,75,25.0,0.87,0.86
Okra,Sandy Loam,6.8,100,60,90,30,500,400,65,70,12.0,0.88,0.87
Okra,Sandy Loam,6.8,100,60,90,30,500,400,65,70,12.0,0.88,0.87
Okra,Sandy Loam,6.8,100,60,90,30,500,400,65,70,12.0,0.88,0.87
Cabbage,Loam,6.5,150,90,120,20,500,400,75,80,35.0,0.89,0.88
Cabbage,Loam,6.5,150,90,120,20,500,400,75,80,35.0,0.89,0.88
Cabbage,Loam,6.5,150,90,120,20,500,400,75,80,35.0,0.89,0.88
Cauliflower,Clay Loam,6.5,150,90,120,20,500,350,75,80,20.0,0.9,0.89
Cauliflower,Clay Loam,6.5,150,90,120,20,500,350,75,80,20.0,0.9,0.89
Cauliflower,Clay Loam,6.5,150,90,120,20,500,350,75,80,20.0,0.9,0.89
Carrot,Sandy Loam,6.5,100,60,90,20,400,300,70,75,25.0,0.91,0.9
Carrot,Sandy Loam,6.5,100,60,90,20,400,300,70,75,25.0,0.91,0.9
Carrot,Sandy Loam,6.5,100,60,90,20,400,300,70,75,25.0,0.91,0.9
Green_Peas,Clay Loam,7.0,60,75,60,18,400,300,70,75,8.0,0.92,0.93
Green_Peas,Clay Loam,7.0,60,75,60,18,400,300,70,75,8.0,0.92,0.93
Green_Peas,Clay Loam,7.0,60,75,60,18,400,300,70,75,8.0,0.92,0.93
Sweet_Potato,Sandy Loam,6.0,90,45,120,25,500,500,65,70,20.0,0.87,0.86
Sweet_Potato,Sandy Loam,6.0,90,45,120,25,500,500,65,70,20.0,0.87,0.86
Sweet_Potato,Sandy Loam,6.0,90,45,120,25,500,500,65,70,20.0,0.87,0.86
Cassava,Red Soil,6.2,60,30,90,28,750,600,60,70,25.0,0.84,0.83
Cassava,Red Soil,6.2,60,30,90,28,750,600,60,70,25.0,0.84,0.83
Cassava,Red Soil,6.2,60,30,90,28,750,600,60,70,25.0,0.84,0.83
