id,parent_id,source,question,answer
86,0,original,what is the importane of organic farming?,This approach seeks to minimize the use of synthetic chemicals and promote the health of the soil and the environment
87,0,original,what the required soil PH for beans,between 6.0 and 7.0
88,0,original,what is the importance of soil management.,it helps farmers to identify nutrient deficiencies or excesses in the soil and adjust their fertilization practices accordingly.
89,0,original,what causes plant diseases?,"variety of pathogens, including fungi, bacteria, viruses, and nematodes"
90,0,original,what are organic fertilizers?,"are derived from natural sources such as animal manure, compost, and plant residues"
91,0,original,What are the symptoms of cassava mosaic,"Leaves leaves become distorted and yellow, Poor formation of tubers, The plants is stumted, Mosaic mottling,mishapen and twisted leaflets and reduction in size of leaves"
92,0,original,what is Couch grass?,is a persistent weed that can be difficult to control in cassava gardens
93,0,original,name one crop that belongs to Brassicaceae family,mustards
94,0,original,what is Poaceae.,Poaceae is a family of flowering grasses which includes cereal grasses and the grasses of grasslands and pastures
95,0,original,which people used small windmills to generate electricity in rural areas,Americans
96,0,original,how do we control plant diseases?,use of pesticides and other measures to control.
97,0,original,the product of consistent modification by scientists are called?,GMOs
98,0,original,Any maize markets out there?,Nakasero Market
99,0,original,what are different cassava diseases?,Cassava
100,0,original,What is post-harvest management?,Proper storage conditions
101,0,original,How is technology in agriculture changing?,Tractor technology is changing! Auto?steer and GPS (global positioning systems) help make farming more efficient. Tractor technology is also helping the environment.
102,0,original,how can pest and diseases be managed in maize plants?,"use of chemical or organic pesticides and fungicides, as well as proper crop rotation to reduce the risk of infection"
103,0,original,what happens to African armyworms first after emerging from pupation,hey allow their bodies to dry off and their wings to harden before climbing trees
104,0,original,which body oversees organic certification>,USDA National Organic Program (NOP)
105,0,original,what is Tillage.,"is the practice of breaking up the soil with tools such as the plow or harrow to prepare for planting, for nutrient incorporation, or for pest control."
106,0,original,define what a seed class is?,"The categorization of seed according to genetic purity and quality standards. The seed
classes adopted in these guidelines are Nuclear stock, Basic seed, Certified 1, Certified 2 and QDS."
107,0,original,"When is the best time to harvest beans, and how is this determined?",when the pods turn yellow and dry up
108,0,original,which vitamins helps blood cell and DNA development,B12
109,0,original,what is final stage in crop cultivation,Harvesting
110,0,original,Why do horses sleep standing up?,"Their legs can lock in place, enabling them to fall asleep without falling over. Because they are prey animals, horses often do not feel comfortable sleeping on the ground, and most of their sleeping is done during the day rather than at night when predators are out hunting. Horses have straight backs, so they cannot get up quickly."
111,0,original,name the activities of crop maintanance.,"weed and pest control, fertilization, and irrigation."
112,0,original,Name the cultural pest control practicies.,"crop rotation, culling, cover crops, intercropping, composting, avoidance, and resistance"
113,0,original,what are some of the challenges in growing apples?,"� Apple seedlings are imported and costly
� Birds and thieves are giving many farmers sleepless nights.
� Few areas are favourable for Apple Growing
� High competition with imported apples
Market"
114,0,original,in which way is climate change affecting agriculture?,"changes in temperature, rainfall, and weather patterns"
115,0,original,which nutrient is leguminous crops high in?,nitrogen
116,0,original,how do cover crops suppress weeds after death,they smother the next flush of weeds by forming a mulch layer on the soil surface
117,0,original,How can couch grass be effectively control from the cassava garden.,"Hand-pulling, mulching, herbicides, and tillage"
118,0,original,Why do cows stand around in fields eating all day?,to produce four or more gallons of milk
119,0,original,what is isolation.,"A minimum separation distance required in a seed multiplication field in order to prevent
contamination by physical mixtures or disease vectors"
120,0,original,name regions where irrigation is applicable.,regions with low rainfall or unreliable water sources
121,0,original,"What are some of the physical and chemical, properties of soil that soil scientists study?","texture, structure, acidity, and nutrient content."
122,0,original,how was harvesting done before the evolution of machinery?,Gathering and removing mature plants from the field had to be done by hand
123,0,original,what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
124,0,original,What are the effects of reliable rain fall,"improved crop yields, better soil health, enhanced biodiversity, reduced risk of drought, and improved water quality."
125,0,original,how do we call the cover crops that increases soil fertility.,green manure
126,0,original,List some of the soil management activites.,"soil testing, fertilization, irrigation, tillage, and crop rotation"
127,0,original,give other examples of ruminats,"Goats, sheep, camels, and antelope"
128,0,original,what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
129,0,original,What are some of biological properties of soil that soil scientists study?,microbial communities that live in the soil and the interactions between these organisms and the plants that grow in the soil.
130,0,original,"what nutrients can i use for water regulation, disease resistance, and stress tolerance in plants.",potassium
131,0,original,what kind of information is collected by tools used in precision agriculture?,"soil moisture, nutrient levels, and other factors"
132,0,original,which year was Apple farming introduced in Uganda?,1999
133,0,original,what is multiple cropping.,several crops are grown sequentially in one year
134,0,original,which nutrients are required for high yield in cassava.,"nitrogen, phosphorus, and potassium"
135,0,original,What is the best way to store harvested wheat to prevent spoilage?,Harvested wheat should be stored carefully to prevent spoilage and maintain quality
136,0,original,"which nutrient  is important for root development, flowering, and fruiting.",Phosphorus
137,0,original,Which agricultural method can be used to improve on soil fertility,incorporating cover crops that add organic matter to the soil
138,0,original,what other methods can be used to control apple tree pests?,"using pheromone traps, applying insecticides, or using natural predators such as ladybugs"
139,0,original,when can Calcium Ammonium Nitrate (CAN) be applied in maize?,After 2-3 weeks or when the crop is about 45cm high
140,0,original,what does Agriculture encompasses.,"crop and livestock production, aquaculture, fisheries and forestry for food and non-food products"
141,0,original,What is the recommended pH range for soil used for growing beans?,between 6.0 and 7.5
142,0,original,How has farming changed in the United States?,"The growth of farming brought many laborsaving devices to 19th- and early 20th-century farm life, including reaping and threshing machines, which replaced work done by hand. Today, with modern methods of agriculture that include complex machinery, scientific breeding, and chemical pesticides, farms require far fewer workers."
143,0,original,what is the spacing between plants and rows?,a spacing of 20-30 cm between plants and 60-75 cm between rows
144,0,original,what is soil?,"Soil is a complex mixture of minerals, organic matter, water, air, and living organisms."
145,0,original,why is fertilizer used in soil management?,to provide the necessary nutrients for optimal crop growth.
146,0,original,"During  Food Supply Continuum, what processes are included inside pre-harvest phase.","the producer or farmer, transportation of the product, and marketing of the product"
147,0,original,which  sector is considered as one of the most hazardous of all economic sectors by International Labour Organization.,agriculture
148,0,original,what is  irrigation.,the application of water to crops to supplement natural rainfall and ensure healthy plant growth
149,0,original,What are barns used for?,to store modern farm machinery and house farm animals
150,0,original,why is post-harvest management important for preserving the quality of beans?,to prevent mold growth and insect infestation
151,0,original,what is the basic principle of organic farming,keeping the soil rich with nutrients by feeding it natural fertilizers such as cow manure
152,0,original,what is volunteer plant,"A plant, which usually comes up from seed (root or cutting) left on/in the ground
from a previous crop"
153,0,original,when does the differences in appearance between the solitaria and gregaria phases become apparent.,in the third instar and remain until the last instar
154,0,original,how many eggs does the female armyworm lays per night.,100�400
155,0,original,name one crop planted by using a seed drill.,corn
156,0,original,how many eggs does a female African armyworm lays.,"about 1,000 eggs in her lifetime"
157,0,original,which other regions in Uganda grow apples?,"Bugisu, Bukedi and
Sebei sub regions in areas around Mt. Elgon"
158,0,original,what type of fertilizers are made from chemical?,synthetic fertilizers
159,0,original,How does farming and ranching impact wildlife habitat?,"Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
160,0,original,why do ranchers do not like to use antibiotics?,"because antibiotics are expensive, and they take time to administer"
161,0,original,why is it important in agriculture?,It is an essential aspect of agriculture that plays a crucial role in ensuring sustainable crop yields and protecting the environment.
162,0,original,What is necessary to facilitate seedling growth during the germination process?,to ensure adequate moisture levels during the germination process
163,0,original,name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
164,0,original,Is the primary focus of the USDA agricultural programs?,"7% of the total USDA budget. Rural development, research, food safety, marketing and regulatory, and departmental management accounts for 6% of the budget"
165,0,original,Do cows cause global warming?,cattle production is not a top contributor to greenhouse gasses
166,0,original,which two countries are the largest trading partners of the U.S,China and Canada
167,0,original,which other techniques can help preserve quality of beans?,The use of hermetic storage bags or containers
168,0,original,What is soil science and management.,"Soil science and management is the scientific study of the physical, chemical, and biological properties of soil and the ways in which it can be managed for optimal crop production."
169,0,original,what the advantages of natural food?,make cows produce more milk and chickens produce more eggs
170,0,original,what are some of the water conservation practices being done.,"reducing evaporation loss, controlling water runoff, and maintaining proper soil moisture levels"
171,0,original,How long does beans take  from planting to harvesting season?,75 days to 90 depending on the variety
172,0,original,what is the right spacing for beans when plantimg?,about 2-4 inches apart
173,0,original,when do ad.ults emerge from pupa stage,in 7 to 10 days
174,0,original,how many bristles do female armyworms have?,females have multiple
175,0,original,What percentage did vitamin C in fresh broccoli dropped?,50% within one week
176,0,original,what is Aquaculture,production of fish for human consumption
177,0,original,What is a seed drill?,a device that allowed farmers to plant seeds in the soil and then cover them up
178,0,original,name the four stages of the lifecycle.,"Eggs, Larvae, Pupae and Adult"
179,0,original,any maize market out there?,There are several markets available but all depends on where you are based.Where are you based
180,0,original,"If it says locally grown, does that mean it is from my community?","Not necessarily. This may come as a surprise, but if you�re buying or eating locally grown food, it may not be food grown in your community."
181,0,original,why has Food and Drug Administration has approved  the use of antibiotics in treating animals?,"to treat disease in animals that are sick, control disease for a group of animals when some of the animals are sick and to prevent disease in animals that are at risk for becoming sick"
182,0,original,What are the factors affecting response of crops to fertilizers,Soil type and properties
183,0,original,What are some common pests that can affect maize crops?,"corn borers, armyworms, and rootworms"
184,0,original,which population is vulnerable  in agriculture.,Ages 0�6
185,0,original,where do armyworms lay their eggs.,clusters on the lower side of leaves
186,0,original,which phase in polyphenism in which the larvae raised in groups turns black.,gregaria
187,0,original,how does clover cover crop enhanced songbird habitat.,"by providing cover and nesting sites, and an increased food source from higher arthropod populations"
188,0,original,What is maize and why is it important?,"Maize, also known as corn, is one of the most widely cultivated crops in the world, and is a staple food in many regions"
189,0,original,what is common cause of fatal agricultural injuries in developed countries.,tractor rollovers
190,0,original,how do farmers control soil erosion.,farmers use conservation practices like planting cover crops in the winter or using conservation tillage practices
191,0,original,what is pest management?,Pest management is the practice of controlling pests and diseases that can damage crops
192,0,original,which natural water can fish grow in?,"ponds, lakes, rivers, and streams"
193,0,original,which district in Uganda was apple first introduced?,Kabale District
194,0,original,The primary macronutrients are?,"nitrogen (N), phosphorus (P), and potassium (K), which are typically present in fertilizers in the form of NPK ratios"
195,0,original,why do farmers practice irrigation.,to conserve water while ensuring that crops receive the necessary moisture for healthy growth.
196,0,original,Who invented the earliest milking machines?,the ancient Egyptians
197,0,original,when do i harvest cassava plant?,"when the plants have attained
complete physiological maturity"
198,0,original,Do farmers waste water?,"Water is necessary to grow plants that provide food, fiber and shelter for the world"
199,0,original,How do you call the young ones of a horse,foal
200,0,original,name examples of cover crops.,"Secale cereale (rye), Vicia villosa (hairy vetch), Trifolium pratense (red clover), Sorghum bicolor (sorghum-sudangrass), and species in the family Brassicaceae, particularly mustards"
201,0,original,what is irrigation?,Irrigation is the process of applying water to crops in order to help them grow
202,0,original,why must farmers  balance the benefits of tillage against its potential negative impacts,excessive tillage can lead to soil erosion and nutrient loss
203,0,original,name two types of African armyworm outbreak.,primary and secondary
204,0,original,why is Integrated Pest Management used?,"to minimize the use of pesticides and other chemicals, while still effectively controlling pests and diseases."
205,0,original,what is the use of cow's special stomach,to store food for later chewing and digestion once they were hidden and out of danger
206,0,original,when do moths travel?,during the day
207,0,original,how did seed drill helped farmres,allowed farmers to sow seeds in well-spaced rows at specific depths at a specific rate
208,0,original,give two cultural crop protection practices.,crop rotation and intercropping.
209,0,original,what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
210,0,original,Does most of the money I pay for food go back to the farmer?,Not necessarily
211,0,original,why is crop cultivation a critical aspect of agriculture.,plays a vital role in providing food security for the world's growing population.
212,0,original,what is GMO in full?,Genetically Modified Crops
213,0,original,when secondary outbreaks occur?,occur when the moths from the primary outbreak are carried downwind and the adults mate and lay eggs in same location due to wind patterns
214,0,original,How can Tillage improve productivity.,"warming the soil, incorporating fertilizer and controlling weeds, but also renders soil more prone to erosion, triggers the decomposition of organic matter releasing CO2, and reduces the abundance and diversity of soil organisms."
215,0,original,"What are some common pests and diseases that can affect beans, and how can they be managed?","Common pests include aphids, thrips, and spider mites, while diseases such as bacterial blight and rust can also affect the crop. Pest and disease management typically involves the use of chemical or organic pesticides and fungicides, as well as proper crop rotation to reduce the risk of infection"
216,0,original,which region in African has the armyworm,Sahara
217,0,original,what are organic fertilizers?,"organic fertilizers, which are made from natural materials such as manure and compost"
218,0,original,"What is the fall armyworm, and why is it a concern for farmers in Uganda?","The fall armyworm, in particular, is a major concern for farmers as it is highly invasive, can reproduce quickly, and can cause significant crop losses"
219,0,original,what are the different methods of pest management?,"biological control, cultural control, and chemical contro"
220,0,original,which other field is RFID being used?,hay
221,0,original,What is the process of field drying and threshing maize?,Post-harvest management
222,0,original,what are green manure used for?,to manage a range of soil macronutrients and micronutrients
223,0,original,what is Payment for ecosystem services.,is a method of providing additional incentives to encourage farmers to conserve some aspects of the environment
224,0,original,What type of soil is beans doing well,well-draining loamy soil
225,0,original,what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
226,0,original,what are principal factors of soil quality.,"soil salination, pH, microorganism balance and the prevention of soil contamination"
227,0,original,Can farmers save and replant GMO seeds?,"GMO seeds, like any others, can be saved and replanted"
228,0,original,Why are pigs so dirty?,"Because pigs will eat almost anything, they have traditionally been fed farm leftovers and waste."
229,0,original,what is the importance of chlorophyll.,is necessary for photosynthesis and plant growth.
230,0,original,why do we say cover crops are nurse crops?,"they increase the survival of the main crop being harvested, and are often grown over winter"
231,0,original,how do farmers control insects?,prevent insect damage by putting up insect traps or by bringing in beneficial insects that feed on the harmful ones that are causing a problem.
232,0,original,why do farmers plant cover crops?,"Cover crops manage soil erosion, soil fertility, soil quality, water, weeds, pests, diseases, biodiversity and wildlife in an agroecosystem"
233,0,original,which types of crops are used to retain and recycle soil nitrogen already present.,catch crops
234,0,original,how are beans planted?,The seeds are planted at a depth of 1-2 inches and spaced about 2-4 inches apart in rows
235,0,original,why is gregaria phase dangerous to crops.,because the black-bodied caterpillars are more active and densely concentrated than solitaria caterpillars
236,0,original,how can distinguish female from male,Females and males can be distinguished by the number of bristles on their frenulum
237,0,original,what is crop protection?,"Crop protection refers to the various methods used to protect crops from pests, diseases, and other threats"
238,0,original,why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
239,0,original,what is the most popular crop in midwest?,Soybeans
240,0,original,which kind of cultivation is sometimes referred to as slash and burn.,Shifting cultivation
241,0,original,what does  Food and Drug Administration (FDA) focuses on.,FDA focuses on both fresh and processed food products
242,0,original,which technical allows for water status monitoring and automate water usage.,precision agriculture
243,0,original,How can I control the spread of fungal diseases in my tomato plants?,"ensure good airflow around the plants by spacing them properly and pruning them as needed. Additionally, using a fungicide can help control fungal growth. It's also important to avoid overhead watering, which can promote the spread of disease by splashing spores from one plant to another"
244,0,original,how did the name armyworm starts.,"The larvae often exhibit marching behavior when traveling to feeding sites,"
245,0,original,what is Food Safety and Inspection Service (FSIS) responsible.,"FSIS is �responsible for ensuring that the nation�s commercial supply of meat, poultry and egg products is safe, wholesome and correctly labeled and packaged"
246,0,original,Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
247,0,original,what is the approximate amount of Global agricultural production of wood.,4 billion
248,0,original,how were the primitive milking machine used?,used hollow wheat stems inserted in the teats to milk cows
249,0,original,name two types of beans found in the garden,bush beans and pole beans
250,0,original,Which U.S. states are the biggest farm states?,California
251,0,original,What is the ideal planting density for maize?,"The ideal planting density for maize can vary depending on the specific climate and soil conditions. In general, a planting density of around 70,000 to 80,000 plants per hectare is recommended for optimal yield. However, the ideal density may vary depending on factors such as the variety of maize being planted and the availability of water and nutrients"
252,0,original,what is tillage?,the process of preparing the soil for planting by breaking up the soil and creating a suitable seedbed
253,0,original,how doses cover crops reduce soil loss?,"by improving soil structure and increasing infiltration, protecting the soil surface, scattering raindrop energy and reducing the velocity of the movement of water over the soil surface"
254,0,original,Why are crops sprayed with pesticides?,"to protect crops from insect pests, weeds, and fungal diseases while they are growing"
255,0,original,A mature horse shorter than 14 hands is considered?,pony
256,0,original,what are the common causes of fatal injuries among young farm workers.,"drowning, machinery and motor accidents, including with all-terrain vehicles."
257,0,original,what is the major cassava disease?,Cassava Mosaic Disease (CMD)
258,0,original,Are we losing family farms because corporate farms are taking over American Agriculture?,America�s farms are still family farms
259,0,original,which family does the African armyworm belongs to.,Noctuidae
260,0,original,Is maize growth affected by altitude?,The expert will reachout to help
261,0,original,when do adults emerge?,in 7 to 10 days
262,0,original,Do agricultural exports help the economy?,"According to the USDA Economic Research Service, $140.5 billion worth of American agricultural products were exported around the globe in 2017"
263,0,original,How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
264,0,original,what is the ideal storage temperature for beans?,between 10-15�C
265,0,original,which two countries contribute to 80 percentage of the sea food,Asia and Latin America
266,0,original,which nutrient is essential for the production of chlorophyll.,Nitrogen
267,0,original,what is soil fertility,Soil fertility is the ability of soil to sustain plant growth and optimize crop yield
268,0,original,What is gene editing? How is it different from genetic engineering?,Gene editing allows scientists to make changes to a specific target sequence of DNA within a gene. It modifies the gene in a precise and predictable manner
269,0,original,how can i define precision agriculture?,Precision agriculture is the use of technology to optimize crop production and reduce waste
270,0,original,Can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
271,0,original,What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
272,0,original,"during the final stage, what activities are done during  Food Supply Continuum","retailing the product, distributing the product through the food service industry and, finally, reaching the consumer"
273,0,original,What are some common pests that attack apple trees and how can I control them?,"codling moths, apple maggots, and aphids. To control these pests, it's important to monitor the trees regularly and take action as soon as signs of infestation are observed"
274,0,original,"In growing Irish potatoes,row planting and use of holes, which one conserves fertilizers?",Row planting
275,0,original,what important role does agriculture play?,feeding the growing population.
276,0,original,what are the causes of soil degradation?,"erosion, compaction, and nutrient depletion"
277,0,original,what is plant biotechnology,a set of techniques used to adapt plants for specific needs or opportunities
278,0,original,what is seed dormancy,Seed dormancy is the condition in which a seed fails to germinate even under conditions that are normally favorable for germination
279,0,original,What are some of the methods that farmers in Uganda use to control armyworms?,"early detection, biological control, chemical control, crop rotation, and cultural control"
280,0,original,what are other merits of increasing the density of cattles on the grazing land?,"restores the environment, it protects against climate change"
281,0,original,how do i check for corn maturity?,"test the kernel moisture content using a moisture meter. Additionally, the husks on the ears should have turned brown and dry"
282,0,original,what is the approximate Global agricultural production,32 million tonnes of natural fibres
283,0,original,Poor irrigation leads to?,"waterlogging, soil salinization, and other negative environmental consequences."
284,0,original,name Spodoptera exempta species that have chisel-like mandibels.,"S. triturata, S. m. mauritia, S. m. acronyctoides, S. umbraculata, S. cilium, Spodoptera depravata [sv], and S. pecten"
285,0,original,Name the various activities done during crop cultivation.,"land preparation, planting, weed and pest control, fertilization, irrigation, harvesting, and storage"
286,0,original,how can the information collected for precision agriculture used?,make more informed decisions about planting and harvesting
287,0,original,what is micropropagation.,"The practice of rapidly multiplying stock plant material to produce a large number
of progeny plants using plant tissue culture techniques"
288,0,original,why are Gregaria caterpillars considered very deleterious pests.,capable of destroying entire crops in a matter of weeks
289,0,original,What are some sustainable farming practices that can help reduce environmental impact?,Sustainable farming practices can help
290,0,original,what is the importance of agriculture.,"It creates jobs, helps our economy and provides our basic necessities"
291,0,original,How can I improve the quality of my grapes for winemaking?,"Grape quality can be improved by careful management of the vines, such as proper pruning and trellising. Additionally, thinning the grape clusters can help ensure even ripening and improve the quality of the fruit"
292,0,original,"apart from suppressing weeds, what are other properties of allelopathic cover crops.","they can also break disease cycles and reduce populations of bacterial and fungal diseases, and parasitic nematodes"
293,0,original,How can I increase the yield of my potato crop?,"Potato yield can be increased by taking steps to improve soil fertility, such as using organic matter and maintaining proper soil pH"
294,0,original,how many farms were there in United States in 1935,6.8 million farms in the United States
